"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q3";"TO-220-3_Horizontal_TabDown";1;"IRLZ44N";;;
2;"IC2";"TO-220-3_Horizontal_TabDown";1;"L7809";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
4;"C3,C2,C1,C5";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";4;"100n";;;
5;"C4";"CP_Radial_Tantal_D5.0mm_P5.00mm";1;"10uf / 35V";;;
6;"D1,D2";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
7;"D3";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4004";;;
8;"IC1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM555N";;;
9;"Q1";"TO-92_Inline";1;"2N3904";;;
10;"Q2";"TO-92_Inline";1;"2N3906";;;
11;"R2,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
12;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2.2k";;;
13;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22";;;
14;"R1";"Potentiometer_Bourns_3266Y_Vertical";1;"100k";;;
15;"Battery1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Battery";;;
16;"External_POT1";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"External_POT";;;
17;"Motor1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Motor";;;
